Operation,Dimension,BlockSize,Time,L1_DCM,L2_DCM,Gflops,N_Threads
5,4096,0,34.089,1275859328,2654439643,4.0318,8
5,6144,0,107.03,7828196824,13768603539,4.3339,4
5,6144,0,104.617,5275682201,9651646198,4.4339,6
5,6144,0,105.909,4160329911,8258442595,4.3798,8
5,8192,0,247.66,20695165392,32168360355,4.4396,4
5,8192,0,248.905,12621863215,23257422185,4.4174,6
5,8192,0,248.505,9480830716,16486035135,4.4245,8
5,10240,0,481.794,69375123976,59762461343,4.4573,4
5,10240,0,475.662,25337554104,42436047065,4.5147,6
5,10240,0,473.115,18563334347,30707586720,4.5390,8
