Operation,Dimension,BlockSize,Time,Gflops
1,600,0,0.205938,2.0979
1,1000,0,1.444756,1.3976
1,1400,0,4.236251,1.2971
1,1800,0,18.451307,0.6322
1,2200,0,39.806522,0.5351
1,2600,0,69.775916,0.5039
1,3000,0,116.122284,0.4652
2,600,0,0.122586,3.5357
2,1000,0,0.532265,3.7608
2,1400,0,1.700801,3.2288
2,1800,0,3.873679,3.0247
2,2200,0,6.905116,3.0867
2,2600,0,11.276529,3.1188
2,3000,0,17.154032,3.1485
