Operation,Dimension,BlockSize,Time,Gflops
1,600,0,0.202344851,2.1349690781111104
1,1000,0,1.279690844,1.5628774788670754
1,1400,0,4.107468153,1.3361028730050388
1,1800,0,18.431906796,0.6328156999215764
1,2200,0,39.126220369,0.5442897320302622
1,2600,0,70.062005928,0.5017269993115004
1,3000,0,114.188650056,0.4729016410432868
2,600,0,0.116563592,3.706131499447958
2,1000,0,0.534716149,3.740302221543715
2,1400,0,1.645147884,3.335870321065921
2,1800,0,3.632650023,3.210879089961813
2,2200,0,6.670161905,3.192726099202535
2,2600,0,11.124444842,3.15988802131363
2,3000,0,16.952175219,3.1854319166944896
