Operation,Dimension,BlockSize,Time,Gflops
1,600,0,0.202923245,2.128883756023121
1,1000,0,1.28251497,1.5594359884937639
1,1400,0,4.227527905,1.2981581963088191
1,1800,0,18.341905069,0.6359208575184235
1,2200,0,39.331461283,0.5414494988317314
1,2600,0,69.592839422,0.5051094378667871
1,3000,0,116.18982922,0.46475668621350263
2,600,0,0.11565828,3.7351411416458897
2,1000,0,0.538617496,3.713210237047331
2,1400,0,1.649707386,3.3266505603194285
2,1800,0,3.602265953,3.2379619251282974
2,2200,0,6.649099174,3.2028398799154383
2,2600,0,11.02019805,3.189779334319677
2,3000,0,16.964208491,3.1831723848860114
