Operation,Dimension,BlockSize,Time,Gflops
1,600,0,0.199770946,2.162476619598127
1,1000,0,1.279888854,1.5626356880517065
1,1400,0,4.05640751,1.3529212699835478
1,1800,0,18.355453646,0.6354514698982558
1,2200,0,39.261318995,0.542416825138047
1,2600,0,69.819089698,0.5034726197670112
1,3000,0,113.881440562,0.4741773526354455
2,600,0,0.116109622,3.7206218792099763
2,1000,0,0.532926322,3.7528639840762077
2,1400,0,1.64829083,3.3295095138034587
2,1800,0,3.613670569,3.227743032267533
2,2200,0,6.625439226,3.2142774650213055
2,2600,0,11.012906169,3.1918913555214545
2,3000,0,16.956452739,3.1846283436275264
