Operation,Dimension,BlockSize,Time,Gflops
1,600,0,0.203494775,2.12290462986089
1,1000,0,1.250706963,1.599095598862513
1,1400,0,4.057141589,1.3526764791446868
1,1800,0,18.449961459,0.6321964425736094
1,2200,0,39.286328073,0.5420715308498361
1,2600,0,69.78962968,0.5036851486557422
1,3000,0,116.147583988,0.46492572764646667
2,600,0,0.116394054,3.7115298003109336
2,1000,0,0.522073261,3.8308799729929093
2,1400,0,1.65221151,3.32160862382565
2,1800,0,3.635370995,3.2084758381035603
2,2200,0,6.685350253,3.1854725921717537
2,2600,0,11.102951094,3.166005119035067
2,3000,0,17.055483235,3.1661372038515565
