Operation,Dimension,BlockSize,Time,L1_DCM,L2_DCM,Gflops,N_Threads
4,600,0,0.025901,6778666,14545965,16.6789,4
4,600,0,0.017808,4522490,9517995,24.2588,6
4,600,0,0.014651,3394126,7197210,29.4860,8
4,1000,0,0.125046,31425031,65421586,15.9941,4
4,1000,0,0.087004,20993803,43758441,22.9874,6
4,1000,0,0.069361,15718923,32825640,28.8346,8
4,1400,0,0.419271,86903278,174384908,13.0894,4
4,1400,0,0.291817,58099803,117143429,18.8063,6
4,1400,0,0.231278,43457670,87423902,23.7290,8
4,1800,0,0.938149,187084946,366286810,12.4330,4
4,1800,0,0.669406,124740895,244864942,17.4244,6
4,1800,0,0.540336,93566471,185410728,21.5866,8
4,2200,0,1.73421,517212437,667590924,12.2800,4
4,2200,0,1.24097,345169833,446404142,17.1607,6
4,2200,0,0.998446,258622858,334597769,21.3291,8
4,2600,0,2.89367,1099259580,1104280988,12.1479,4
4,2600,0,2.05431,734001928,736838750,17.1113,6
4,2600,0,1.67071,549659895,549980595,21.0402,8
4,3000,0,4.44433,1690005884,1685982985,12.1503,4
4,3000,0,3.16617,1126711052,1123865367,17.0553,6
4,3000,0,2.56937,845047418,848896721,21.0168,8
4,4096,0,11.5428,4404633184,4269322842,11.9069,4
4,4096,0,8.11223,2939429737,2882940782,16.9422,6
4,4096,0,7.37403,2205302947,2172506541,18.6382,8
4,6144,0,39.3097,14881577791,14696225222,11.8001,4
4,6144,0,29.6074,9924543012,9721194073,15.6669,6
4,6144,0,28.0355,7435365134,7203062905,16.5453,8
4,8192,0,93.3637,35265924636,34596328499,11.7766,4
4,8192,0,69.6359,23530502063,23157324160,15.7894,6
4,8192,0,66.6091,17616878042,17099374344,16.5069,8
4,10240,0,182.753,68846967088,68082550330,11.7508,4
4,10240,0,138.434,45949258317,45786587724,15.5127,6
4,10240,0,145.355,34379801018,32895192050,14.7740,8
5,600,0,0.113082,10784161,37795761,3.8202,4
5,600,0,0.140411,9838169,38463700,3.0767,6
5,600,0,0.17562,8977659,36231738,2.4599,8
5,1000,0,0.376302,45005894,137425866,5.3149,4
5,1000,0,0.456296,34964779,124811204,4.3831,6
5,1000,0,0.995679,31415816,118613155,2.0087,8
5,1400,0,1.15596,106969162,276126829,4.7476,4
5,1400,0,1.17563,85798362,258114712,4.6681,6
5,1400,0,1.41932,71543150,238989031,3.8666,8
5,1800,0,2.57809,223531688,529347408,4.5243,4
5,1800,0,2.81828,168728761,450101010,4.1387,6
5,1800,0,3.15734,142422709,402609030,3.6943,8
5,2200,0,5.01614,379240632,812989095,4.2455,4
5,2200,0,5.29084,290718078,711364868,4.0251,6
5,2200,0,5.78901,242075008,626012717,3.6787,8
5,2600,0,8.33091,631928804,1319389217,4.2195,4
5,2600,0,8.63895,460793228,1056169441,4.0690,6
5,2600,0,9.15378,377388930,910806661,3.8402,8
5,3000,0,12.8707,932939702,1819999043,4.1956,4
5,3000,0,14.2599,685536201,1476545002,3.7868,6
5,3000,0,13.9709,558993587,1276884258,3.8652,8
5,4096,0,31.4449,2323478743,4346165052,4.3708,4
5,4096,0,31.1231,1686275005,3541498115,4.4160,6
5,4096,0,34.3546,1283410442,2613011171,4.0006,8
5,6144,0,105.942,7847280501,14152632641,4.3784,4
5,6144,0,104.553,5281363741,9754363122,4.4366,6
5,6144,0,106.565,4161797601,8278905117,4.3528,8
5,8192,0,251.211,20233693250,32770891573,4.3768,4
5,8192,0,249.651,12629124555,22912033623,4.4042,6
5,8192,0,264.738,9477842289,16516754583,4.1532,8
5,10240,0,489.553,67489773804,61059894790,4.3866,4
5,10240,0,478.682,25360484630,41801025968,4.4862,6
5,10240,0,485.837,18555883531,30634048130,4.4202,8
