Operation,Dimension,BlockSize,Time,L1_DCM,L2_DCM,Gflops,N_Threads
4,600,0,0.025849,6778516,14275045,16.7124,4
4,600,0,0.018662,4523933,9681413,23.1486,6
4,600,0,0.014613,3394764,7269587,29.5627,8
4,1000,0,0.131193,31424578,65418217,15.2447,4
4,1000,0,0.086715,20995586,44464474,23.0641,6
4,1000,0,0.071842,15719241,33030800,27.8389,8
4,1400,0,0.418029,86901663,174145127,13.1283,4
4,1400,0,0.290056,58102568,116457861,18.9205,6
4,1400,0,0.240418,43459131,87713305,22.8269,8
4,1800,0,0.944391,187093194,358899469,12.3508,4
4,1800,0,0.668203,124741447,246674014,17.4558,6
4,1800,0,0.54888,93575310,185410215,21.2505,8
4,2200,0,1.74151,517085854,656717961,12.2285,4
4,2200,0,1.23674,345173467,449290186,17.2194,6
4,2200,0,1.01449,258662043,337093068,20.9918,8
4,2600,0,2.90364,1099268491,1087963233,12.1062,4
4,2600,0,2.0925,734017902,742676491,16.7990,6
4,2600,0,1.98857,549627671,557127565,17.6770,8
4,3000,0,4.58619,1690028300,1709548858,11.7745,4
4,3000,0,3.37243,1126718317,1148571536,16.0122,6
4,3000,0,2.98956,845093693,852676211,18.0629,8
4,4096,0,11.9192,4408062148,4303153237,11.5309,4
4,4096,0,8.69765,2944139233,2932133324,15.8018,6
4,4096,0,7.75609,2203413315,2166729104,17.7201,8
4,6144,0,40.1513,14889496749,14839823497,11.5527,4
4,6144,0,29.2102,9930421478,9851398380,15.8800,6
4,6144,0,29.7045,7431175927,7168110401,15.6157,8
4,8192,0,95.1424,35274674288,34730784428,11.5565,4
4,8192,0,69.8294,23540288402,23232701581,15.7457,6
4,8192,0,74.5558,17599805330,16778416408,14.7475,8
4,10240,0,186.232,68869407385,68467875884,11.5312,4
4,10240,0,136.638,45964308033,45813742766,15.7166,6
4,10240,0,163.534,34355128209,32645687165,13.1317,8
