Operation,Dimension,BlockSize,Time,L1_DCM,L2_DCM,Gflops,N_Threads
1,600,0,0.18249,244784140,37445984,2.3673,1
1,1000,0,1.07131,1215393189,200095953,1.8669,1
1,1400,0,3.29305,3433845690,673932326,1.6665,1
1,1800,0,17.7495,9090179701,3923970069,0.6571,1
1,2200,0,37.3631,17650325423,19488667467,0.5700,1
1,2600,0,67.1005,30881468495,50273329730,0.5239,1
1,3000,0,112.864,50303353388,98635432922,0.4785,1
2,600,0,0.103332,27108132,57299968,4.1807,1
2,1000,0,0.476588,125703806,268290086,4.1965,1
2,1400,0,1.54768,346004749,709789300,3.5459,1
2,1800,0,3.37107,745313797,1433130111,3.4600,1
2,2200,0,6.24226,2073952623,2580642934,3.4116,1
2,2600,0,10.4301,4412472341,4210218593,3.3703,1
2,3000,0,15.9796,6779695363,6396111250,3.3793,1
2,4096,0,40.716,17548629194,16211526624,3.3755,1
2,6144,0,138.525,59180581719,54623565504,3.3485,1
2,8192,0,325.145,140168892464,128487883115,3.3816,1
2,10240,0,637.473,273266220794,248653630648,3.3687,1
3,4096,128,30.5744,9751394271,32986986556,4.4952,1
3,4096,256,28.2093,9090200644,23321645184,4.8721,1
3,4096,512,35.8251,8776430127,18860730793,3.8364,1
3,6144,128,101.485,32927138803,113091389774,4.5707,1
3,6144,256,90.0039,30671929373,77911228022,5.1537,1
3,6144,512,89.433,29635075789,65914070891,5.1866,1
3,8192,128,243.383,78012346324,260530908877,4.5176,1
3,8192,256,393.791,73062285317,157154481080,2.7921,1
3,8192,512,326.198,70362030648,129550098662,3.3707,1
3,10240,128,475.802,152478881951,516633651748,4.5134,1
3,10240,256,419.402,141983587798,357447853876,5.1203,1
3,10240,512,412.363,137094514420,304438114050,5.2078,1
4,600,0,0.026155,6780104,14263074,16.5169,4
4,600,0,0.017809,4525409,9539954,24.2574,6
4,600,0,0.014116,3396423,7269081,30.6036,8
4,1000,0,0.12747,31425441,65560895,15.6900,4
4,1000,0,0.084872,20993811,43381037,23.5649,6
4,1000,0,0.065731,15721013,33022583,30.4270,8
4,1400,0,0.41287,86900884,172495420,13.2923,4
4,1400,0,0.289102,58105582,116675075,18.9829,6
4,1400,0,0.226598,43455180,87396433,24.2191,8
4,1800,0,0.933769,187093740,362907501,12.4913,4
4,1800,0,0.660491,124740450,245962587,17.6596,6
4,1800,0,0.525918,93578277,185951630,22.1784,8
4,2200,0,1.7242,517192081,664100744,12.3512,4
4,2200,0,1.22657,345179891,444818849,17.3622,6
4,2200,0,0.985237,258637096,334688636,21.6151,8
4,2600,0,2.8707,1099278045,1085945234,12.2451,4
4,2600,0,2.0495,733993771,724714024,17.1515,6
4,2600,0,1.62734,549661298,550101874,21.6009,8
4,3000,0,4.40051,1690032831,1693182699,12.2713,4
4,3000,0,3.11711,1126739836,1122360012,17.3238,6
4,3000,0,2.54505,845100127,848073972,21.2176,8
4,4096,0,11.6886,4406678765,4324843519,11.7584,4
4,4096,0,8.22439,2939900788,2876533226,16.7111,6
4,4096,0,7.23666,2204126797,2180111212,18.9920,8
4,6144,0,38.888,14876541291,14513990365,11.9280,4
4,6144,0,28.5044,9927645917,9834848158,16.2731,6
4,6144,0,25.9529,7437577406,7234843783,17.8730,8
4,8192,0,92.3768,35255001070,34828157398,11.9025,4
4,8192,0,69.5189,23526042772,23330301096,15.8160,6
4,8192,0,77.0139,17594055869,16475606908,14.2768,8
4,10240,0,180.041,68850643916,68686173085,11.9277,4
4,10240,0,133.085,45950452708,46157057982,16.1361,6
4,10240,0,142.056,34385203730,33232795772,15.1172,8
5,600,0,0.115008,10770945,38208031,3.7563,4
5,600,0,0.145167,9850199,37926220,2.9759,6
5,600,0,0.179544,9123062,36550238,2.4061,8
5,1000,0,0.375367,44896228,139016298,5.3281,4
5,1000,0,0.4305,34887790,125641294,4.6458,6
5,1000,0,0.553269,31333215,119290752,3.6149,8
5,1400,0,1.03343,107013718,285556869,5.3105,4
5,1400,0,1.13385,85605044,262420454,4.8402,6
5,1400,0,1.44409,72648011,244961216,3.8003,8
5,1800,0,2.58359,223420788,538207720,4.5146,4
5,1800,0,2.86663,168818973,445997205,4.0689,6
5,1800,0,3.12808,140938708,391037415,3.7288,8
5,2200,0,5.1134,379245629,818984560,4.1647,4
5,2200,0,5.36233,290860153,709912752,3.9714,6
5,2200,0,5.73168,240238619,609648631,3.7155,8
5,2600,0,8.57532,631787691,1311869036,4.0992,4
5,2600,0,8.8544,461685101,1060404415,3.9700,6
5,2600,0,9.28576,378269183,916683697,3.7856,8
5,3000,0,13.2572,930973711,1854212955,4.0733,4
5,3000,0,13.5512,684510288,1516754838,3.9849,6
5,3000,0,13.96,560070242,1285454585,3.8682,8
5,4096,0,32.1482,2328738700,4353550241,4.2752,4
5,4096,0,32.6065,1677401900,3642328068,4.2151,6
5,4096,0,34.2788,1275447928,2596075428,4.0094,8
5,6144,0,105.769,7845058080,14159147879,4.3856,4
5,6144,0,106.149,5303992844,9801812577,4.3699,6
5,6144,0,105.824,4154098017,8133450438,4.3833,8
5,8192,0,250.278,20571654461,32513895664,4.3932,4
5,8192,0,249.097,12600374938,23030318402,4.4140,6
5,8192,0,249.63,9484520589,16291465492,4.4046,8
5,10240,0,484.629,67920900204,60915139959,4.4312,4
5,10240,0,475.705,26119826188,43305560967,4.5143,6
5,10240,0,474.054,18575245568,30593651161,4.5300,8
