Operation,Dimension,BlockSize,Time,L1_DCM,L2_DCM,Gflops,N_Threads
2,600,0,0.100706,27108628,56863704,4.2897,1
2,1000,0,0.484146,125697521,261106000,4.1310,1
2,1400,0,1.54175,346010110,716870111,3.5596,1
2,1800,0,3.39231,745316606,1434344633,3.4384,1
2,2200,0,6.25662,2073921189,2561612182,3.4038,1
2,2600,0,10.456,4412322761,4131237963,3.3619,1
2,3000,0,16.0442,6779684571,6405148548,3.3657,1
2,4096,0,41.0216,17537516610,16257142229,3.3504,1
2,6144,0,138.712,59118485680,53473618130,3.3440,1
2,8192,0,327.781,139922296129,125317925912,3.3544,1
2,10240,0,633.677,273428050694,253628401162,3.3889,1
3,4096,128,29.873,9752443904,32569840624,4.6008,1
