Operation,Dimension,BlockSize,Time,L1_DCM,L2_DCM,Gflops,N_Threads
1,600,0,0.181774,244782375,37474112,2.3766,1
1,1000,0,0.987096,1231052645,196451608,2.0261,1
1,1400,0,3.38492,3522963862,775914612,1.6213,1
1,1800,0,17.353,9092655433,4316506937,0.6722,1
1,2200,0,37.4843,17629559925,18235433212,0.5681,1
1,2600,0,67.8301,30880014893,50438630560,0.5182,1
1,3000,0,114.26,50314453100,98818063446,0.4726,1
2,600,0,0.104729,27110681,57358035,4.1249,1
2,1000,0,0.47657,125703221,262461511,4.1967,1
2,1400,0,1.57884,346012031,711249039,3.4760,1
2,1800,0,3.41519,745220455,1451063110,3.4153,1
2,2200,0,6.18917,2074298392,2581012355,3.4408,1
2,2600,0,10.2504,4412470960,4211566782,3.4293,1
2,3000,0,15.8405,6779563940,6427174072,3.4090,1
2,4096,0,40.4076,17543911863,16176997228,3.4013,1
2,6144,0,136.924,59128719669,54218558474,3.3877,1
2,8192,0,324.752,140011128595,126393220088,3.3857,1
2,10240,0,646.26,273598897145,257042962792,3.3229,1
3,4096,128,30.7176,9748900607,32519408404,4.4743,1
3,4096,256,29.0799,9093017010,23026813733,4.7263,1
3,4096,512,33.7291,8775270808,19001454097,4.0748,1
3,6144,128,102.695,32911844821,108499250743,4.5168,1
3,6144,256,89.3044,30674988596,79239830197,5.1941,1
3,6144,512,89.4453,29644181574,67493603890,5.1859,1
3,8192,128,246.367,78031923084,259764989848,4.4629,1
3,8192,256,387.128,73022504686,158090682619,2.8402,1
3,8192,512,328.459,70402472607,129054283756,3.3475,1
3,10240,128,469.035,152406281739,510001984123,4.5785,1
3,10240,256,417.244,141992778885,361818833945,5.1468,1
3,10240,512,413.28,137087656339,304862257529,5.1962,1
4,600,0,0.02631,6778796,14552978,16.4196,4
4,600,0,0.018647,4525039,9579800,23.1673,6
4,600,0,0.015484,3393103,7127876,27.8998,8
4,1000,0,0.130222,31423103,66334565,15.3584,4
4,1000,0,0.087383,20997155,43657551,22.8877,6
4,1000,0,0.071222,15719169,32983475,28.0812,8
4,1400,0,0.416185,86907521,172971623,13.1864,4
4,1400,0,0.289996,58103858,116407237,18.9244,6
4,1400,0,0.237329,43453636,87978624,23.1240,8
4,1800,0,0.943837,187103125,365464547,12.3581,4
4,1800,0,0.672286,124737954,246349718,17.3498,6
4,1800,0,0.544447,93566763,185204249,21.4236,8
4,2200,0,1.7316,517109599,663884971,12.2984,4
4,2200,0,1.23864,345155545,447883100,17.1930,6
4,2200,0,0.999196,258626210,337111187,21.3131,8
4,2600,0,2.89025,1099289933,1097043867,12.1623,4
4,2600,0,2.059,733987825,741051608,17.0724,6
4,2600,0,1.67302,549671207,547736871,21.0111,8
4,3000,0,4.42616,1690008084,1695283432,12.2002,4
4,3000,0,3.20506,1126719297,1125805738,16.8484,6
4,3000,0,3.0974,845020909,845082072,17.4340,8
4,4096,0,11.8455,4407544489,4287175816,11.6027,4
4,4096,0,8.70023,2943008849,2926404816,15.7972,6
4,4096,0,7.37749,2205900955,2185857112,18.6295,8
4,6144,0,40.1145,14886640815,14738270519,11.5633,4
4,6144,0,29.3074,9931353598,9875326785,15.8273,6
4,6144,0,29.5091,7430244546,7180763423,15.7191,8
4,8192,0,94.8364,35274934618,35042580768,11.5938,4
4,8192,0,69.8432,23540492028,23338098451,15.7426,6
4,8192,0,76.4176,17597800484,16702824665,14.3882,8
4,10240,0,185.24,68888847920,69319822266,11.5930,4
4,10240,0,137.804,45951459303,45986633042,15.5836,6
4,10240,0,143.537,34396243523,33205824855,14.9611,8
5,600,0,0.114106,10868598,38036433,3.7860,4
5,600,0,0.144433,9804301,37856259,2.9910,6
5,600,0,0.177019,8966019,36566045,2.4404,8
5,1000,0,0.369029,44689722,138990027,5.4196,4
5,1000,0,0.432816,34917275,124971248,4.6209,6
5,1000,0,0.580751,31448847,121193173,3.4438,8
5,1400,0,1.06566,106759885,282409824,5.1499,4
5,1400,0,1.13943,85521632,259575301,4.8165,6
5,1400,0,1.5001,73242652,248703583,3.6584,8
5,1800,0,2.56684,223223962,537115956,4.5441,4
5,1800,0,2.83847,168857630,449887285,4.1093,6
5,1800,0,3.15474,140557369,391504707,3.6973,8
5,2200,0,5.08842,378452471,810901322,4.1852,4
5,2200,0,5.35406,291259522,714058291,3.9775,6
5,2200,0,5.76174,241075790,619701087,3.6961,8
5,2600,0,8.56329,631300331,1330914617,4.1050,4
5,2600,0,8.81284,461543927,1071118672,3.9887,6
5,2600,0,9.24055,378451950,918401842,3.8041,8
5,3000,0,13.1445,930293688,1826575028,4.1082,4
5,3000,0,13.517,686148937,1518502540,3.9950,6
5,3000,0,13.9154,558353766,1279664500,3.8806,8
5,4096,0,32.6215,2334107301,4458676539,4.2131,4
5,4096,0,32.657,1678008769,3574849444,4.2086,6
5,4096,0,33.8663,1279750152,2626623527,4.0583,8
5,6144,0,106.703,7827296134,13685467038,4.3472,4
5,6144,0,105.533,5284037116,9880541287,4.3954,6
5,6144,0,105.119,4162459844,8255774407,4.4127,8
5,8192,0,251.011,20740068570,32932740692,4.3803,4
5,8192,0,250.105,12623768796,23196902074,4.3962,6
5,8192,0,250.399,9486017400,16373746269,4.3910,8
5,10240,0,484.595,68618198540,61155319492,4.4315,4
5,10240,0,471.181,25791313539,42290843652,4.5577,6
