Operation,Dimention,BlockSize,Time
1,600,0,0.175100918
1,1000,0,1.029496894
1,1400,0,5.662600696
1,1800,0,11.296904531
1,2200,0,20.412636479
1,2600,0,43.41010604
1,3000,0,84.606990488
2,600,0,0.152113606
2,1000,0,0.709026575
2,1400,0,1.887464385
2,1800,0,4.162793455
2,2200,0,7.947066337
2,2600,0,12.865771109
2,3000,0,19.786034077
