Operation,Dimension,BlockSize,Time,L1_DCM,L2_DCM,Gflops,N_Threads
4,600,0,0.026143,6780457,14392625,16.5245,4
4,600,0,0.018997,4524296,9483395,22.7404,6
4,600,0,0.015588,3394701,7141380,27.7136,8
4,1000,0,0.131898,31427440,66072819,15.1632,4
4,1000,0,0.087074,20994441,44353918,22.9690,6
4,1000,0,0.071935,15721084,32810144,27.8029,8
4,1400,0,0.421408,86901327,174177387,13.0230,4
4,1400,0,0.290571,58099977,117274273,18.8870,6
4,1400,0,0.238838,43462188,88225384,22.9779,8
4,1800,0,0.937639,187083808,359365181,12.4398,4
4,1800,0,0.675286,124743956,246073225,17.2727,6
4,1800,0,0.5451,93568562,185305274,21.3979,8
4,2200,0,1.73566,517087849,656684928,12.2697,4
4,2200,0,1.23835,345146691,448364063,17.1970,6
4,2200,0,1.01205,258643325,337014527,21.0425,8
4,2600,0,2.88219,1099275016,1091361606,12.1963,4
4,2600,0,2.05922,733995681,727998428,17.0705,6
4,2600,0,1.8004,549591989,547503871,19.5246,8
4,3000,0,4.54111,1690053692,1690708977,11.8914,4
4,3000,0,3.41497,1126715802,1144050476,15.8127,6
4,3000,0,3.07815,845053810,846216668,17.5430,8
4,4096,0,11.9144,4408187259,4304405925,11.5355,4
4,4096,0,8.7775,2943132294,2929945873,15.6581,6
4,4096,0,7.73515,2204608977,2162046895,17.7681,8
4,6144,0,40.3116,14884917082,14731884943,11.5068,4
4,6144,0,29.1393,9931023038,9837863014,15.9186,6
4,6144,0,29.8843,7432810221,7163357428,15.5218,8
4,8192,0,95.0446,35287375975,34966814742,11.5684,4
4,8192,0,70.3096,23542864660,23309017336,15.6382,6
4,8192,0,73.6155,17609129892,16888843665,14.9359,8
