Operation,Dimension,BlockSize,Time,L1_DCM,L2_DCM,Gflops,N_Threads
4,600,0,0.026115,6779294,14279247,16.5422,4
4,600,0,0.018134,4526638,9695415,23.8227,6
4,600,0,0.015092,3395353,7151208,28.6244,8
4,1000,0,0.125028,31423293,66462303,15.9964,4
4,1000,0,0.08743,20996040,43526866,22.8754,6
4,1000,0,0.073539,15716660,32778677,27.1965,8
4,1400,0,0.419331,86910999,174888282,13.0875,4
4,1400,0,0.290487,58100828,116117249,18.8924,6
4,1400,0,0.233971,43462279,87507320,23.4559,8
4,1800,0,0.940901,187092153,366583334,12.3966,4
4,1800,0,0.673311,124749817,246222956,17.3233,6
4,1800,0,0.560184,93576895,185081916,20.8217,8
4,2200,0,1.73324,517197024,665552740,12.2868,4
4,2200,0,1.265,345148003,446638364,16.8347,6
4,2200,0,1.29147,258534669,325844004,16.4898,8
4,2600,0,2.92346,1099222128,1100266024,12.0241,4
4,2600,0,2.05213,733968166,740402788,17.1295,6
4,2600,0,1.69879,549644737,552806604,20.6924,8
4,3000,0,4.42105,1689995711,1691848331,12.2143,4
4,3000,0,3.12881,1126722142,1129197667,17.2590,6
4,3000,0,2.60704,845035547,850889032,20.7132,8
4,4096,0,11.4998,4406925945,4336335363,11.9514,4
4,4096,0,8.63195,2943175818,2914856272,15.9221,6
4,4096,0,7.62475,2205509405,2177765205,18.0254,8
4,6144,0,39.7859,14886851137,14637083336,11.6588,4
4,6144,0,29.3795,9932289825,9902271393,15.7884,6
4,6144,0,29.1263,7433624817,7218005952,15.9257,8
4,8192,0,94.8698,35289472401,35268849414,11.5897,4
4,8192,0,70.4563,23538502118,23506107342,15.6056,6
4,8192,0,76.4434,17602714624,16625682633,14.3833,8
4,10240,0,186.571,68902465030,69193199063,11.5103,4
4,10240,0,138.038,45956888199,45811056972,15.5572,6
4,10240,0,151.893,34355884028,32843488662,14.1382,8
5,600,0,0.111303,10751288,37617672,3.8813,4
5,600,0,0.143322,9826500,38396239,3.0142,6
5,600,0,0.177301,9045673,36317392,2.4365,8
5,1000,0,0.377473,44670793,136498943,5.2984,4
5,1000,0,0.426045,34876006,124502720,4.6943,6
5,1000,0,0.538543,31615462,120667088,3.7137,8
5,1400,0,1.01944,107001464,285449339,5.3834,4
5,1400,0,1.13724,85580429,261352768,4.8257,6
5,1400,0,1.41156,71589671,236999909,3.8879,8
5,1800,0,2.58251,223247381,535585933,4.5165,4
5,1800,0,2.81702,168250361,443418960,4.1405,6
5,1800,0,3.22846,140764736,394366588,3.6129,8
5,2200,0,5.05206,378976348,825213017,4.2153,4
5,2200,0,5.30464,290143528,701838234,4.0146,6
5,2200,0,5.80338,239801826,615633896,3.6696,8
5,2600,0,8.59359,631778797,1322809066,4.0905,4
5,2600,0,8.84482,461132408,1066509397,3.9743,6
5,2600,0,9.28252,376784645,915366340,3.7869,8
5,3000,0,13.1323,931268946,1846840325,4.1120,4
5,3000,0,13.5304,684464667,1504396238,3.9910,6
5,3000,0,14.0068,560028097,1301557657,3.8553,8
5,4096,0,32.3254,2328959474,4317830902,4.2517,4
5,4096,0,32.5861,1679547247,3530765384,4.2177,6
5,4096,0,34.3636,1277731860,2614272586,3.9996,8
5,6144,0,105.767,7836983079,14132489481,4.3857,4
5,6144,0,106.785,5282284321,9763716539,4.3439,6
5,6144,0,106.618,4157961678,8262458798,4.3506,8
5,8192,0,249.614,20350476951,32932613338,4.4049,4
5,8192,0,249.387,12613614737,23460706946,4.4089,6
5,8192,0,247.376,9513811446,16420505696,4.4447,8
5,10240,0,486.346,67333767184,61373920473,4.4156,4
5,10240,0,477.08,26014422073,42362315824,4.5013,6
5,10240,0,475.346,18546161905,30798680846,4.5177,8
