Operation,Dimension,BlockSize,Time,L1_DCM,L2_DCM,Gflops,N_Threads
4,600,0,0.025802,6780294,14272141,16.7429,4
4,600,0,0.0187,4522773,9606684,23.1016,6
4,600,0,0.01671,3891831,8323515,25.8528,7
4,600,0,0.024726,3392297,7129259,17.4715,8
4,1000,0,0.130659,31423233,65435814,15.3070,4
4,1000,0,0.088518,20994311,43474506,22.5943,6
4,1000,0,0.07663,17978699,37526734,26.0994,7
4,1000,0,0.075553,15725672,33500419,26.4715,8
4,1400,0,0.425445,86903723,174314315,12.8994,4
4,1400,0,0.293692,58100713,114990673,18.6862,6
4,1400,0,0.26142,49671929,100426143,20.9930,7
4,1400,0,0.243411,43459776,87766234,22.5462,8
4,1800,0,0.940846,187087109,358960109,12.3974,4
4,1800,0,0.674819,124741041,246412166,17.2846,6
4,1800,0,0.607544,107280353,211973050,19.1986,7
4,1800,0,0.588909,93591986,183647187,19.8061,8
4,2200,0,1.74449,517266271,661841663,12.2076,4
4,2200,0,1.24201,345172777,439970051,17.1465,6
4,2200,0,1.13829,296264497,381057201,18.7088,7
4,2200,0,1.04902,258710444,335449356,20.3008,8
4,2600,0,2.891,1099162674,1090421683,12.1591,4
4,2600,0,2.07879,733921965,738970456,16.9099,6
4,2600,0,1.89156,629084200,628344060,18.5836,7
4,2600,0,1.72865,549612517,555390282,20.3349,8
4,3000,0,4.4341,1689965292,1693770389,12.1783,4
4,3000,0,3.22683,1126672619,1128881313,16.7347,6
4,3000,0,3.19167,966695881,983639193,16.9190,7
4,3000,0,2.98582,845032591,855931231,18.0855,8
4,4096,0,12.0301,4411065762,4370277719,11.4246,4
4,4096,0,9.04063,2943591621,2923184850,15.2024,6
4,4096,0,8.42138,2523264245,2476076164,16.3202,7
4,4096,0,8.03567,2204393572,2153812506,17.1036,8
4,6144,0,40.994,14889364847,14773296764,11.3152,4
4,6144,0,31.0083,9927227194,9788477895,14.9591,6
4,6144,0,28.0139,8512136924,8469304166,16.5581,7
4,6144,0,29.5491,7437519197,7216496907,15.6978,8
4,8192,0,97.0065,35291335001,35178133100,11.3344,4
4,8192,0,72.7669,23542070060,23490334846,15.1101,6
4,8192,0,68.208,20177485517,20066061270,16.1200,7
4,8192,0,74.3432,17614206153,16825270366,14.7897,8
4,10240,0,190.524,68914691630,69256432296,11.2715,4
4,10240,0,139.82,45975487073,46386976020,15.3589,6
4,10240,0,134.932,39377680456,39322520800,15.9153,7
4,10240,0,149.084,34387917118,32981334942,14.4045,8
5,600,0,0.119528,10776665,37758388,3.6142,4
5,600,0,0.14614,9816237,37926626,2.9561,6
5,600,0,0.159152,8972229,34763659,2.7144,7
5,600,0,0.184142,9202454,37243839,2.3460,8
5,1000,0,0.373667,45074270,138875481,5.3524,4
5,1000,0,0.449158,34915495,124237638,4.4528,6
5,1000,0,0.525699,32705194,121749854,3.8045,7
5,1000,0,0.607012,31255233,120290036,3.2948,8
5,1400,0,1.02859,107108883,282415548,5.3354,4
5,1400,0,1.15384,85466751,261137090,4.7563,6
5,1400,0,1.29333,77578756,249028287,4.2433,7
5,1400,0,1.43942,72664414,245207235,3.8126,8
5,1800,0,2.5113,223430235,537094960,4.6446,4
5,1800,0,2.81108,168747287,452212455,4.1493,6
5,1800,0,2.98124,153268287,423587083,3.9125,7
5,1800,0,3.13707,139090909,390171658,3.7181,8
5,2200,0,5.00851,378993543,829994755,4.2520,4
5,2200,0,5.25672,290040746,711055113,4.0512,6
5,2200,0,5.44191,261354517,664687694,3.9133,7
5,2200,0,5.82008,239868849,619646408,3.6591,8
5,2600,0,8.24858,632142570,1309018096,4.2616,4
5,2600,0,8.59251,461598000,1056412498,4.0910,6
5,2600,0,8.94681,414250619,997288893,3.9290,7
5,2600,0,9.2359,377099930,924005290,3.8060,8
5,3000,0,12.7379,931561128,1811582318,4.2393,4
5,3000,0,13.2692,684380983,1508801667,4.0696,6
