Operation,Dimension,BlockSize,Time,L1_DCM,L2_DCM,Gflops,N_Threads
4,600,0,0.026494,6779317,14261236,16.3056,4
4,600,0,0.018226,4521395,9521731,23.7024,6
4,600,0,0.01756,3892933,8187175,24.6014,7
4,600,0,0.016268,3395813,7196393,26.5552,8
4,1000,0,0.129947,31426780,65438761,15.3909,4
4,1000,0,0.087904,20993621,44297104,22.7521,6
4,1000,0,0.077577,17978101,37701012,25.7808,7
4,1000,0,0.076036,15718539,32703268,26.3033,8
4,1400,0,0.419735,86904429,172210866,13.0749,4
4,1400,0,0.293442,58097790,116092945,18.7022,6
4,1400,0,0.259269,49661413,100176555,21.1672,7
4,1400,0,0.242843,43461660,87840847,22.5990,8
4,1800,0,0.941426,187091180,365443292,12.3897,4
4,1800,0,0.677869,124741629,243827073,17.2069,6
4,1800,0,0.608739,107294735,210403515,19.1609,7
4,1800,0,0.556977,93569655,186329453,20.9416,8
4,2200,0,1.74497,517195791,667597624,12.2043,4
4,2200,0,1.24832,345151927,448108779,17.0598,6
4,2200,0,1.13515,296242805,385510905,18.7605,7
4,2200,0,1.0453,258677173,336519447,20.3731,8
4,2600,0,2.90949,1099276613,1092103707,12.0819,4
4,2600,0,2.09076,733992902,727175056,16.8130,6
4,2600,0,1.8858,629140315,634236271,18.6404,7
4,2600,0,1.73904,549658434,553480362,20.2134,8
4,3000,0,4.47558,1690019172,1691092836,12.0655,4
4,3000,0,3.29958,1126715026,1150295702,16.3657,6
4,3000,0,3.25835,966722722,975713611,16.5728,7
4,3000,0,2.91232,845076652,863236994,18.5419,8
4,4096,0,12.1406,4411332009,4353798051,11.3206,4
4,4096,0,9.0636,2942623629,2927978853,15.1638,6
4,4096,0,8.25051,2524534089,2513218942,16.6582,7
4,4096,0,7.92844,2204801814,2160619088,17.3349,8
4,6144,0,41.0158,14886345777,14578435560,11.3092,4
4,6144,0,29.9816,9932807027,9934591060,15.4714,6
4,6144,0,27.9952,8513413513,8476998538,16.5691,7
4,6144,0,30.4244,7435481906,7177663251,15.2462,8
4,8192,0,97.3658,35292360856,35190746700,11.2926,4
4,8192,0,72.1004,23543815421,23284030626,15.2497,6
4,8192,0,67.525,20170910035,20092512535,16.2830,7
4,8192,0,78.7297,17604969890,16761280344,13.9657,8
4,10240,0,191.468,68916173186,68785620792,11.2159,4
4,10240,0,138.883,45969366585,46496103678,15.4625,6
4,10240,0,141.845,39354922307,38879631427,15.1396,7
4,10240,0,148.104,34397112878,33039228284,14.4998,8
6,4096,256,9.14762,2287204244,5924011219,15.0246,4
6,4096,256,7.35895,1716524491,4452429581,18.6764,6
6,4096,256,7.37826,1716102496,4405150440,18.6276,7
6,4096,256,5.60997,1144615107,2901152446,24.4990,8
6,6144,256,38.7014,7723157689,19272522821,11.9855,4
6,6144,256,25.2237,5149244663,12937410691,18.3897,6
6,6144,256,22.466,5148262910,13067756530,20.6470,7
6,6144,256,27.0514,3862618021,9488818893,17.1472,8
6,8192,256,258.255,18348768970,39329928649,4.2575,4
6,8192,256,255.861,13761665784,27273776997,4.2973,6
6,8192,256,192.339,11468431802,23323584953,5.7165,7
6,8192,256,237.87,9166345583,15636004691,4.6223,8
6,10240,256,227.732,35765290419,88002731603,9.4299,4
6,10240,256,164.782,25039468552,62300162366,13.0322,6
6,10240,256,164.407,21461235687,51857727881,13.0620,7
6,10240,256,154.854,17881888836,41828028837,13.8678,8
