1,600,0,0.200558789,2.1539818930597954
1,1000,0,1.306889653,1.5303510861907481
1,1400,0,4.193393699,1.3087251982347199
1,1800,0,18.506910884,0.6302510490869666
1,2200,0,39.183471831,0.543494463478136
1,2600,0,68.926070118,0.5099957090230229
1,3000,0,113.937158732,0.47394546784352753
2,600,0,0.116843563,3.6972511699253814
2,1000,0,0.529275402,3.778751085809954
2,1400,0,1.676956085,3.27259613360716
2,1800,0,3.599935817,3.240057765729883
2,2200,0,6.64820731,3.2032695442525245
2,2600,0,11.03180304,3.1864238214318226
2,3000,0,16.935280498,3.1886097195955636
