1,600,0,0.201170222,2.1474351208898104
1,1000,0,1.285806708,1.555443744037459
1,1400,0,4.136283644,1.3267948894077344
1,1800,0,18.452757966,0.6321006334929131
1,2200,0,38.923148182,0.5471294331183707
1,2600,0,69.763973995,0.5038703787504902
1,3000,0,114.84390988,0.4702034270378326
2,600,0,0.11633956,3.71326829841887
2,1000,0,0.513196285,3.897144345072568
2,1400,0,1.652307369,3.3214159199213737
2,1800,0,3.597114606,3.2425989376441904
2,2200,0,6.676839422,3.1895330490995892
2,2600,0,11.023815503,3.188732611719944
2,3000,0,16.951862358,3.1854907065426987
